# Run began:Tue Jan 24 20:46:08 2017

# Key run parameters:
# Nx Ny = 10 10
# model = DIPOLE-DIPOLE
# (T_min,T_max,dT) = (0.05, 1.05, 0.05)
# equilStepsPerSite = 2000
# sampleFreq = 1
# r_cut (dipole-models) = 2
# ensemble_size = 180000
#
#T(K) E_av Esqrd_av P_av Psqrd_av Cv Chi OP tau(px) tau(py) tau(pz) tau(E) tau(OP)
0.05 -108.352 11740.7 1.79851 3.5915 21774.4 8.28262e+06 4003.88 585.634 95.9881 93.8314 3.05607e+07 91.8698
0.1 -122.856 15093.5 0 0 -973.072 0 10000.1 -nan -nan -nan 1.72073e+15 0
0.15 -122.856 15093.5 0 0 -432.476 0 10000.1 -nan -nan -nan 1.72073e+15 0
0.2 -122.85 15092.1 0.00287557 0.00406667 -201.976 23547.9 9999.6 5.23763 1.83416 -208.006 7.02517e+09 0.0523921
0.25 -122.796 15078.9 0.0315236 0.0451444 126.72 204939 9994.75 5.11937 1.66298 -4.71432 6.56817e+08 0.569422
0.3 -122.52 15011.9 0.15959 0.235422 1016.55 812135 9969.89 4.64338 1.79692 90.6209 1.14008e+08 3.53099
0.35 -121.647 14801.3 0.491379 0.796444 3101.13 1.84012e+06 9888.06 4.43216 1.632 98.4609 2.91566e+07 6.47976
0.4 -119.414 14270.4 1.08574 2.11326 7744.92 2.71087e+06 9656.46 3.73157 1.72696 91.1105 8.6887e+06 11.2079
0.45 -113.834 12995.3 1.90107 4.90833 21279.8 3.33766e+06 8971.57 3.5464 1.70651 99.8221 2.19012e+06 27.2471
0.5 -89.1816 8212.53 3.36479 14.0116 120303 6.24278e+06 4932.22 2.45855 1.81009 99.9906 127755 79.4615
0.55 -62.8047 3988.21 4.39301 22.869 16794.5 7.53339e+06 821.001 1.91013 1.31271 99.9979 32235.1 34.4164
0.6 -57.3612 3322.15 4.64011 25.4746 10264.6 7.62792e+06 532.553 1.61454 1.36484 99.9945 18456.1 13.8796
0.65 -53.4654 2887.67 4.84667 27.8028 7999.25 7.69935e+06 418.119 1.51379 1.30346 99.998 12254.6 8.42528
0.7 -50.254 2553.94 5.01488 29.7773 6741.73 7.67272e+06 351.673 1.63736 1.34679 99.9305 8926.21 5.22376
0.75 -47.654 2299.28 5.16852 31.5718 5854.44 7.51701e+06 320.354 1.50986 1.15541 99.9969 7379.52 4.19147
0.8 -45.2427 2075.44 5.31915 33.4335 5174.16 7.45607e+06 289.749 1.56267 1.21398 99.998 6022.42 3.2971
0.85 -43.0583 1882.87 5.45714 35.1924 4634.15 7.38868e+06 264.592 1.46772 1.16504 99.9467 5010.56 3.00477
0.9 -41.2251 1728.63 5.56599 36.6117 4171.99 7.26114e+06 250.55 1.52354 1.25397 99.9997 4461.27 2.60843
0.95 -39.5287 1592.13 5.66403 37.9365 3807.9 7.15233e+06 236.665 1.42665 1.15929 99.9999 3887.51 2.36604
1 -37.9373 1469.26 5.78222 39.5076 3483.86 7.04805e+06 222.564 1.44391 1.23792 99.9998 3395.14 1.90673
1.05 -36.5148 1363.9 5.88096 40.893 3217.63 6.97076e+06 216.009 1.51523 1.21236 99.9974 3161.26 2.01534
