# Autocorrelation functions of each variable listed.
# Values for orderParam only listed if non-Ising model.
# MCS Px Py Pz E OrderParam
1 -nan -nan -nan 1 0
2 -nan -nan -nan 1 0
3 -nan -nan -nan 1 0
4 -nan -nan -nan 1 0
5 -nan -nan -nan 1 0
6 -nan -nan -nan 1 0
7 -nan -nan -nan 1 0
8 -nan -nan -nan 1 0
9 -nan -nan -nan 1 0
10 -nan -nan -nan 1 0
11 -nan -nan -nan 1 0
12 -nan -nan -nan 1 0
13 -nan -nan -nan 1 0
14 -nan -nan -nan 1 0
15 -nan -nan -nan 1 0
16 -nan -nan -nan 1 0
17 -nan -nan -nan 1 0
18 -nan -nan -nan 1 0
19 -nan -nan -nan 1 0
20 -nan -nan -nan 1 0
21 -nan -nan -nan 1 0
22 -nan -nan -nan 1 0
23 -nan -nan -nan 1 0
24 -nan -nan -nan 1 0
25 -nan -nan -nan 1 0
26 -nan -nan -nan 1 0
27 -nan -nan -nan 1 0
28 -nan -nan -nan 1 0
29 -nan -nan -nan 1 0
30 -nan -nan -nan 1 0
31 -nan -nan -nan 1 0
32 -nan -nan -nan 1 0
33 -nan -nan -nan 1 0
34 -nan -nan -nan 1 0
35 -nan -nan -nan 1 0
36 -nan -nan -nan 1 0
37 -nan -nan -nan 1 0
38 -nan -nan -nan 1 0
39 -nan -nan -nan 1 0
40 -nan -nan -nan 1 0
41 -nan -nan -nan 1 0
42 -nan -nan -nan 1 0
43 -nan -nan -nan 1 0
44 -nan -nan -nan 1 0
45 -nan -nan -nan 1 0
46 -nan -nan -nan 1 0
47 -nan -nan -nan 1 0
48 -nan -nan -nan 1 0
49 -nan -nan -nan 1 0
50 -nan -nan -nan 1 0
51 -nan -nan -nan 1 0
52 -nan -nan -nan 1 0
53 -nan -nan -nan 1 0
54 -nan -nan -nan 1 0
55 -nan -nan -nan 1 0
56 -nan -nan -nan 1 0
57 -nan -nan -nan 1 0
58 -nan -nan -nan 1 0
59 -nan -nan -nan 1 0
60 -nan -nan -nan 1 0
61 -nan -nan -nan 1 0
62 -nan -nan -nan 1 0
63 -nan -nan -nan 1 0
64 -nan -nan -nan 1 0
65 -nan -nan -nan 1 0
66 -nan -nan -nan 1 0
67 -nan -nan -nan 1 0
68 -nan -nan -nan 1 0
69 -nan -nan -nan 1 0
70 -nan -nan -nan 1 0
71 -nan -nan -nan 1 0
72 -nan -nan -nan 1 0
73 -nan -nan -nan 1 0
74 -nan -nan -nan 1 0
75 -nan -nan -nan 1 0
76 -nan -nan -nan 1 0
77 -nan -nan -nan 1 0
78 -nan -nan -nan 1 0
79 -nan -nan -nan 1 0
80 -nan -nan -nan 1 0
81 -nan -nan -nan 1 0
82 -nan -nan -nan 1 0
83 -nan -nan -nan 1 0
84 -nan -nan -nan 1 0
85 -nan -nan -nan 1 0
86 -nan -nan -nan 1 0
87 -nan -nan -nan 1 0
88 -nan -nan -nan 1 0
89 -nan -nan -nan 1 0
90 -nan -nan -nan 1 0
91 -nan -nan -nan 1 0
92 -nan -nan -nan 1 0
93 -nan -nan -nan 1 0
94 -nan -nan -nan 1 0
95 -nan -nan -nan 1 0
96 -nan -nan -nan 1 0
97 -nan -nan -nan 1 0
98 -nan -nan -nan 1 0
99 -nan -nan -nan 1 0
100 -nan -nan inf 1.72073e+15 0
