#------------------------------------------------------
#Config file loaded. Selected parameters:
#
#Lattice = 10_10
#Model = DIPOLE-DIPOLE with n = 6
#
#runType = ANNEAL
#r_cut = 4
#T_min, T_max, dT = 0.05, 1.05, 0.05
#
#equilSteps = 2000
#ensembleSize = 180000
#------------------------------------------------------
#T(K) E_av Esqrd_av P_av Psqrd_av Cv Chi OP tau(px) tau(py) tau(pz) tau(E) tau(OP)
0.05 -117.81 13879.2 1.46404e-11 2.1434e-22 -3579.15 -2.76368e-20 10000.1 100 0.995719 -4.01011e+15 -1.70014e+15 0
0.1 -117.81 13879.2 1.46404e-11 2.1434e-22 -894.787 -1.38184e-20 10000.1 100 0.995719 -4.01011e+15 -1.70014e+15 0
0.15 -117.81 13879.2 6.2854e-05 8.88889e-05 -396.199 687.645 10000 3.49893 4.24574 -3369.79 3.47587e+11 0.000687322
0.2 -117.802 13877.3 0.00438406 0.0062 -167.582 35862.5 9999.33 3.04507 5.26055 68.5326 5.16931e+09 0.0689623
0.25 -117.723 13858.8 0.0457016 0.0656222 257.541 294911 9992.01 2.76579 4.68628 98.5862 4.62638e+08 1.42453
0.3 -117.307 13762.1 0.230058 0.348022 1584.65 1.14148e+06 9950.42 2.72435 4.46629 99.5755 7.58079e+07 5.75641
0.35 -116.016 13464.9 0.668784 1.14178 4796.5 2.30269e+06 9805.5 2.67959 4.19389 99.778 1.87418e+07 17.7218
0.4 -128.32 16486.1 0.773161 1.35993 14553.3 2.21111e+06 9763.5 1.68678 2.91468 99.9946 4.76491e+06 35.0267
0.45 -125.722 15824.9 1.36688 2.84653 10768.4 2.52251e+06 9453.85 1.66444 2.21912 99.9192 4.74935e+06 10.36
0.5 -118.709 14142.3 2.09859 5.65227 23458.3 2.8969e+06 8677.24 1.64404 1.93554 99.9958 1.50667e+06 19.1859
0.55 -102.241 10614.3 3.00337 10.9957 61797.8 4.16802e+06 6507.38 1.63813 1.56283 99.9919 288403 51.1091
0.6 -72.6683 5443.48 4.00862 19.1067 52474.8 5.8751e+06 2269.47 1.6572 1.28997 99.9975 56126.1 55.9447
0.65 -59.4622 3600.57 4.42129 23.1647 17800.3 6.45722e+06 860.229 1.55614 1.21448 99.9976 25612.1 28.5794
0.7 -53.5762 2916.31 4.64335 25.5153 10869.8 6.55592e+06 555.553 1.41119 1.09879 95.6488 15274.7 13.4743
0.75 -49.5408 2494 4.81661 27.4262 8191.54 6.53958e+06 437.384 1.45895 1.1077 99.9997 10631.9 7.66496
0.8 -46.3901 2189.03 4.95857 29.0897 6706.67 6.53075e+06 370.517 1.43767 1.10035 99.9984 8102.73 5.45525
0.85 -43.8018 1953.53 5.09275 30.6825 5610.85 6.47984e+06 323.443 1.40148 1.14767 99.9992 6493.8 4.27443
0.9 -41.5577 1760.79 5.22864 32.3146 4834.96 6.41593e+06 293.726 1.33998 1.11349 99.9985 5510.51 3.92127
0.95 -39.642 1604.5 5.34326 33.7869 4245.42 6.39652e+06 271.312 1.36654 1.0472 99.9998 4733.56 3.01229
1 -37.8863 1468.18 5.44717 35.0574 3806.99 6.24992e+06 255.119 1.36963 1.03365 100 4228.67 2.3912
1.05 -36.3261 1352.01 5.55088 36.4152 3413.38 6.19226e+06 240.825 1.37292 1.06729 99.9975 3787.23 1.99515
