# Autocorrelation functions of each variable listed.
# Values for orderParam only listed if non-Ising model.
# MCS Px Py Pz E OrderParam
1 0.417493 0.417462 1.00003 0.87347 0.95404
2 0.18893 0.19152 1.00004 0.788224 0.918243
3 0.0944162 0.0960221 1.00004 0.723913 0.885748
4 0.0480704 0.0512375 1.00004 0.672439 0.856112
5 0.0274463 0.0295489 1.00004 0.62943 0.828717
6 0.0151941 0.0143115 1.00004 0.591595 0.802479
7 0.00805367 0.0100714 1.00004 0.559265 0.778074
8 0.00331118 0.0104592 1.00004 0.532003 0.755292
9 0.00377162 0.00783813 1.00004 0.508085 0.733799
10 0.00136261 0.00422936 1.00004 0.486463 0.713513
11 0.0042236 -0.000848914 1.00004 0.466534 0.694162
12 0.00340171 0.000476306 1.00004 0.448762 0.675252
13 0.0014349 -0.00034755 1.00004 0.43215 0.657152
14 0.00281101 0.000696958 1.00004 0.417117 0.639787
15 0.00029519 0.000518739 1.00004 0.403096 0.622598
16 0.0006358 -0.00103431 1.00004 0.389837 0.605942
17 -0.00136488 -0.00356333 1.00004 0.377419 0.590248
18 -0.00235154 -0.00275645 1.00004 0.366022 0.574904
19 -0.00254236 -0.00316185 1.00004 0.355686 0.560137
20 -0.00438673 -0.00283479 1.00004 0.345379 0.54582
21 -0.00118838 -0.00217218 1.00004 0.335402 0.531774
22 -0.000676492 -0.000606719 1.00004 0.325375 0.518143
23 0.00090412 -0.00195087 1.00004 0.316878 0.504879
24 0.00182826 -0.00132482 1.00004 0.308198 0.491953
25 0.000794057 -0.000940309 1.00004 0.298901 0.479494
26 0.00184584 -0.00222897 1.00004 0.290638 0.467358
27 0.00311646 0.000721766 1.00004 0.282644 0.455808
28 0.00541541 -0.00229621 1.00004 0.275179 0.444405
29 0.00742846 -0.00293075 1.00004 0.268886 0.433659
30 0.00549421 -0.000506838 1.00004 0.262231 0.42351
31 0.0040432 0.000328116 1.00004 0.255658 0.413766
32 0.00477392 -1.26547e-05 1.00004 0.248676 0.404096
33 0.00307868 0.000991379 1.00004 0.24245 0.394508
34 0.00150263 0.00304123 1.00004 0.237281 0.385128
35 0.00319135 0.000373161 1.00004 0.232179 0.375716
36 0.00367784 0.00116176 1.00004 0.226744 0.366638
37 -0.000396449 0.00506692 1.00004 0.2215 0.357941
38 -0.000377563 0.00251897 1.00004 0.216064 0.349656
39 -0.00178754 0.00496769 1.00004 0.210199 0.341987
40 -0.00154723 0.00133737 1.00004 0.206507 0.334446
41 -0.000765715 0.00280752 1.00004 0.202542 0.327178
42 -0.00309463 0.00201565 1.00004 0.198684 0.32036
43 -0.0026915 -0.000814315 1.00004 0.194169 0.313405
44 -0.003389 -0.00200767 1.00004 0.190765 0.306401
45 -0.00437175 -0.000261378 1.00004 0.187452 0.299258
46 -0.00251631 -0.000393248 1.00004 0.184204 0.292267
47 -0.00481331 -0.00022939 1.00004 0.180984 0.28535
48 -0.00676579 -0.00143514 1.00004 0.177588 0.278741
49 -0.00157067 0.00439517 1.00004 0.174408 0.272406
50 -0.0022786 0.00491873 1.00004 0.171462 0.266325
51 -0.00100082 0.0055944 1.00004 0.168137 0.260456
52 0.00155278 0.00305298 1.00004 0.164481 0.255217
53 0.000581094 0.00140135 1.00004 0.160293 0.249845
54 -0.00135446 -0.000579953 1.00004 0.156944 0.244966
55 -0.00137204 -0.00129022 1.00004 0.153145 0.239844
56 0.00010372 -0.000716392 1.00004 0.150576 0.234972
57 -0.00114801 -0.002966 1.00004 0.147656 0.230068
58 -0.00254561 -0.00293336 1.00004 0.145483 0.22562
59 -0.000104033 -0.00552505 1.00004 0.143162 0.221271
60 0.00172276 -0.00592 1.00004 0.140915 0.216815
61 0.00502661 -0.00789021 1.00004 0.138625 0.212671
62 0.00457789 -0.00743976 1.00004 0.136228 0.208591
63 0.00432129 -0.0050028 1.00004 0.134459 0.204386
64 0.00059933 -0.000972297 1.00004 0.132462 0.200107
65 -0.00340007 -0.0010317 1.00004 0.129636 0.19609
66 -0.00398751 -0.00242416 1.00004 0.127848 0.191845
67 -0.00397122 0.000148591 1.00004 0.12479 0.187744
68 -0.00526854 0.00438603 1.00004 0.122018 0.18381
69 -0.00681138 0.00292568 1.00004 0.119766 0.179913
70 -0.00425973 0.00112455 1.00004 0.117699 0.176274
71 0.00166479 0.000324199 1.00004 0.115256 0.172625
72 -0.000485021 0.00268871 1.00004 0.112734 0.169136
73 0.00135544 0.000271321 1.00004 0.110645 0.166037
74 0.000445632 0.000846454 1.00004 0.109139 0.162672
75 0.00208421 0.00334609 1.00004 0.107354 0.159581
76 0.000379854 -0.00035669 1.00004 0.105068 0.156722
77 -0.00023168 0.000964614 1.00004 0.103278 0.154026
78 -0.00100603 0.00202675 1.00004 0.101011 0.151821
79 -0.0018162 0.000831439 1.00004 0.098847 0.149774
80 -0.00228771 0.00333434 1.00004 0.0964416 0.147677
81 -0.00476251 0.00188052 1.00004 0.094635 0.145518
82 -0.00473385 0.00088497 1.00004 0.0923911 0.143329
83 -0.000216701 0.000745267 1.00004 0.090317 0.141038
84 0.00376576 0.00375998 1.00004 0.0881987 0.138899
85 0.00488854 0.00192426 1.00004 0.0854938 0.136888
86 0.00552612 0.0032436 1.00004 0.0826789 0.134786
87 0.00284032 0.00334805 1.00004 0.0810376 0.132891
88 0.000521178 0.00179304 1.00004 0.0795933 0.130696
89 0.00378986 0.00149013 1.00004 0.0786814 0.128322
90 0.00381591 0.000239333 1.00004 0.077873 0.125967
91 -0.0010184 0.00213381 1.00004 0.076688 0.123607
92 -0.00037626 -0.0019685 1.00004 0.0758955 0.12139
93 -0.00314021 -0.000666125 1.00004 0.074795 0.119203
94 -0.00127044 -0.004239 1.00004 0.0735866 0.117071
95 -0.00180904 -0.00140577 1.00004 0.0725046 0.11523
96 -0.00150034 -0.000173248 1.00004 0.0722086 0.113189
97 -0.0029266 0.00103904 1.00004 0.0713607 0.111288
98 -0.000294201 -0.000236571 1.00004 0.0700768 0.109185
99 -0.00115712 0.0034982 1.00004 0.0697123 0.10727
100 0.997629 0.675273 0.970018 34403.7 0.105323
