# Autocorrelation functions of each variable listed.
# Values for orderParam only listed if non-Ising model.
# MCS Px Py Pz E OrderParam
1 0.808662 0.415497 1 0.876095 0.379763
2 0.653415 0.175867 1 0.768454 0.320743
3 0.527406 0.0800898 1 0.676272 0.275598
4 0.426656 0.0344504 1 0.596319 0.239217
5 0.345462 0.0153325 1 0.527083 0.209227
6 0.279606 0.0146765 1 0.466029 0.18406
7 0.224821 0.00736666 1 0.413327 0.162701
8 0.182546 -0.00294204 1 0.367817 0.145472
9 0.146215 -0.00753409 1 0.327285 0.130471
10 0.115012 -0.00294204 1 0.290455 0.117133
11 0.0908076 0.000431718 1 0.258189 0.105783
12 0.0704371 0.000244287 1 0.230509 0.0962765
13 0.0543805 -0.00106773 1 0.205718 0.086838
14 0.0424937 -0.000505436 1 0.184317 0.078319
15 0.0318052 0.000150572 1 0.165785 0.0705804
16 0.0263411 0.00165002 1 0.15063 0.0639142
17 0.0215481 0.00511749 1 0.137093 0.0581391
18 0.0179533 0.00680436 1 0.124571 0.0532331
19 0.0132082 0.00652322 1 0.113635 0.048638
20 0.00827137 0.00493006 1 0.103736 0.0442161
21 0.0045328 0.00708551 1 0.0965127 0.0407912
22 0.00127353 0.00549235 1 0.0890876 0.0377045
23 -0.000787477 0.0057735 1 0.0828031 0.0346115
24 -0.00121885 0.0069918 1 0.0762468 0.0316191
25 -0.00179402 0.0057735 1 0.0672744 0.0272235
26 -0.000691617 0.00633579 1 0.0586249 0.0226879
27 -0.00112299 0.00436776 1 0.0504822 0.0185284
28 -0.000451964 0.00165002 1 0.0426866 0.015653
29 -0.000308173 -0.00163002 1 0.0353973 0.0131496
30 0.0012256 -0.00247346 1 0.0298589 0.011782
31 0.00136939 -0.00200488 1 0.0235741 0.00894814
32 0.000842157 -0.00041172 1 0.0168985 0.00625233
33 0.000458714 0.00305575 1 0.0125473 0.00489855
34 0.00160904 -0.00022429 1 0.0101932 0.00420824
35 0.00251972 -0.00191117 1 0.00730332 0.00335607
36 0.00290317 -0.000318005 1 0.0047274 0.00280156
37 0.00357419 -0.000692866 1 0.00230214 0.00255697
38 0.00347833 -0.00378547 1 0.000523287 0.00255614
39 0.00275937 -0.000130574 1 -0.0014334 0.00250334
40 0.000362853 0.00202488 1 -0.00299052 0.00241031
41 0.000171131 0.00183745 1 -0.00417464 0.00202861
42 0.000410783 0.00099401 1 -0.00635302 0.000953016
43 0.00146525 0.00136887 1 -0.00853017 0.000288904
44 0.000985949 -0.000505436 1 -0.0104056 -1.5418e-05
45 0.000890088 -0.00125516 1 -0.0121258 -0.00102082
46 0.00156111 -0.00341061 1 -0.0127679 -0.00206915
47 0.00242386 -0.00434777 1 -0.0128235 -0.00308933
48 0.00410143 -0.00350433 1 -0.0132938 -0.00412345
49 0.00587485 -0.00556607 1 -0.0142989 -0.00536617
50 0.00645002 -0.0033169 1 -0.0155627 -0.0064719
51 0.00760035 0.00249346 1 -0.0156773 -0.00735
52 0.00855896 0.00146259 1 -0.0153727 -0.00780554
53 0.00798379 0.00586721 1 -0.0156743 -0.0080177
54 0.00879861 0.00802266 1 -0.015609 -0.00812944
55 0.0102845 0.00633579 1 -0.0156573 -0.00858338
56 0.00927791 0.00567978 1 -0.0160305 -0.00967888
57 0.00913412 0.00493006 1 -0.0165867 -0.00997062
58 0.00990101 0.00268089 1 -0.017021 -0.0101651
59 0.0100448 0.000900295 1 -0.0168572 -0.010306
60 0.00994894 -0.000318005 1 -0.0163205 -0.0100972
61 0.00990101 -0.000786582 1 -0.0168909 -0.0100077
62 0.00942171 0.00202488 1 -0.0169654 -0.0104094
63 0.00970929 0.00146259 1 -0.0171783 -0.0111171
64 0.0103803 -0.00041172 1 -0.0180856 -0.0110829
65 0.0101886 0.00249346 1 -0.0188031 -0.0105554
66 0.00970929 5.68566e-05 1 -0.0190983 -0.0106224
67 0.00999687 -0.00116144 1 -0.0189893 -0.0104226
68 0.00932584 -0.00312947 1 -0.0186196 -0.010782
69 0.00860689 -0.00144259 1 -0.0172357 -0.0103619
70 0.00630623 -0.00350433 1 -0.0158499 -0.010502
